"name","source","type","year"
"M4A1-S - Blue Phosphor","The Control Collection","only standard",2020
"AWP - Fade","The Control Collection","only standard",2020
"P2000 - Dispatch","The Control Collection","only standard",2020
"Tec-9 - Phoenix Chalk","The Havoc Collection","only standard",2020
"Dual Berettas - Heist","The Havoc Collection","only standard",2020
"PP-Bizon - Death Rattle","The Havoc Collection","only standard",2020
"Sawed-Off - Clay Ambush","The Havoc Collection","only standard",2020
"M249 - Predator","The Havoc Collection","only standard",2020
"R8 Revolver - Phoenix Marker","The Havoc Collection","only standard",2020
"MP7 - Vault Heist","The Havoc Collection","only standard",2020
"UMP-45 - Houndstooth","The Havoc Collection","only standard",2020
"Nova - Rust Coat","The Havoc Collection","only standard",2020
"P90 - Tiger Pit","The Havoc Collection","only standard",2020
"Desert Eagle - Night Heist","The Havoc Collection","only standard",2020
"SG 553 - Hypnotic","The Havoc Collection","only standard",2020
"Galil AR - Phoenix Blacklight","The Havoc Collection","only standard",2020
"Glock-18 - Franklin","The Havoc Collection","only standard",2020
"AWP - Silk Tiger","The Havoc Collection","only standard",2020
"MAC-10 - Hot Snakes","The Havoc Collection","only standard",2020
"AK-47 - X-Ray","The Havoc Collection","only standard",2020
"Negev - Phoenix Stencil","The Havoc Collection","only standard",2020
"Sawed-Off | Apocalypto","Prisma 2 Case","StatTrak",2020
"SCAR-20 | Enforcer","Prisma 2 Case","StatTrak",2020
"SG 553 | Darkwing","Prisma 2 Case","StatTrak",2020
"SSG 08 | Fever Dream","Prisma 2 Case","StatTrak",2020
"AK-47 | Phantom Disruptor","Prisma 2 Case","StatTrak",2020
"MAC-10 | Disco Tech","Prisma 2 Case","StatTrak",2020
"MAG-7 | Justice","Prisma 2 Case","StatTrak",2020
"M4A1-S | Player Two","Prisma 2 Case","StatTrak",2020
"Glock-18 | Bullet Queen","Prisma 2 Case","StatTrak",2020
"P2000 | Acid Etched","Prisma 2 Case","StatTrak",2020
"R8 Revolver | Bone Forged","Prisma 2 Case","StatTrak",2020
"Negev | Prototype","Prisma 2 Case","StatTrak",2020
"MP5-SD | Desert Strike","Prisma 2 Case","StatTrak",2020
"Desert Eagle | Blue Ply","Prisma 2 Case","StatTrak",2020
"Negev | Ultralight","Fracture Case","StatTrak",2020
"P2000 | Gnarled","Fracture Case","StatTrak",2020
"SG 553 | Ol' Rusty","Fracture Case","StatTrak",2020
